Institution,Scholarship Name,Deadline,Award Amount,Description,Requirements,Scholarship Link
Boston Conservatory,Merit-Based Scholarships,N/A,Amounts vary,Merit-based scholarships. Automatically considered for Berklee scholarships.,Automatically considered. Amounts vary.,N/A
Boston Conservatory,Presidential Scholarships,N/A,Full tuition,Presidential scholarships that are competitive and limited.,Full tuition. Competitive and limited.,N/A
Boston University,Music Scholarships,N/A,N/A,Scholarships granted by admission. No financial amounts specified.,Students must apply by December 1. No financial amounts specified.,N/A
Brandeis University,Leonard Bernstein Fellowship,N/A,Funding for private lessons,Fellowship providing funding for private lessons. Instrument groups change each year.,Instrument groups change each year. Requires major or minor and ensemble at Brandeis University.,N/A
Bridgewater State,Barbara LaFrance Scholarship,N/A,N/A,Scholarship awarded to a music major (preferably a pianist) who is from Massachusetts.,Sophomore junior or senior with minimum GPA of 3.0. Music major preferably pianist from Massachusetts. Selected through audition. If no Massachusetts music major qualifies open to: 1) pianist from any state/country 2) any music major vocal or instrumental from any state/country. Students with music minor may be considered if exceptional.,https://bridgew.academicworks.com/opportunities
Bridgewater State,Elsie P. Johnson Music Fund,N/A,N/A,Scholarship for junior or senior with a major in music preferably with concentration in music education.,Junior or senior with major in music preferably with concentration in music education. Acceptance based on essay (topic: philosophy of teaching music) audition and overall GPA.,https://bridgew.academicworks.com/opportunities
Bridgewater State,Frieda Rand Music Endowment Fund for Performance Studies,N/A,N/A,Benefits music majors with their performance studies fees for private lessons as required by the Music Department.,Matriculated music majors. Must audition. All vocalists and instrumentalists eligible. May be full-time or part-time. May be repeat recipient. Preference given to students who demonstrate financial need.,https://bridgew.academicworks.com/opportunities
Bryant University,Pep Band Scholarships,N/A,N/A,Pep band scholarships based on ensemble needs and financial needs of student.,Based on ensemble needs and financial needs of student. Submit video audition.,N/A
Florida State University,Vires and Mores Scholarships,N/A,$3000 per year,Academic merit scholarship for first-year students.,All first-year students considered.,N/A
Florida State University,Presidential Scholarship,N/A,$7500 per year (plus additional funding for educational enrichment),Academic merit scholarship for first-year students.,All first-year students considered.,N/A
Florida State University,Benacquisto Scholarship,N/A,N/A,Prestigious scholarship for National Merit Finalists.,National Merit Finalists.,N/A
Florida State University,Music Talent Scholarships,N/A,N/A,Scholarships awarded to undergraduate applicants who demonstrate superior musical ability.,Based on admissions audition. Competitive talent-based awards. No additional application required.,N/A
Franklin Pierce University,Athletic Band Scholarships,N/A,N/A,Athletic band scholarships.,No additional info except that they offer athletic band scholarships.,N/A
